Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop,gen
10,589,605,603,604,614,615,602,619,590,607,609,595,600,603,600,587,605,586,614,610,610,624,599,603,608,610,590,621,632,598,603,602,603,614,619,602,606,611,623,617,602,604,619,610,605,600,627,602,611,601,609,623,602,607,602,586,628,601,608,621,609,601,607,593,617,606,606,609,583,606,600,616,615,615,609,594,603,607,615,604,595,594,603,619,609,624,603,608,609,602,610,609,608,613,612,605,621,592,606,590,700,10000
11,625,621,600,617,624,607,590,606,627,613,584,620,579,593,617,585,610,595,596,609,610,620,610,614,616,593,603,613,612,616,614,620,617,618,607,603,587,614,619,603,602,613,596,611,618,598,606,602,622,605,602,600,611,630,606,621,604,622,607,622,627,598,607,602,616,596,614,597,620,606,594,598,600,602,601,609,593,603,616,599,613,601,626,609,611,604,609,626,595,603,614,615,614,627,623,620,617,617,622,609,700,11000
12,602,589,609,601,605,610,603,608,616,589,591,614,602,604,607,623,604,592,599,618,592,612,619,615,606,596,607,609,609,603,611,598,603,603,612,632,611,613,596,611,605,594,612,620,605,602,612,614,610,614,622,620,613,589,604,612,613,603,617,616,605,603,603,616,611,609,631,608,618,612,604,605,615,623,616,585,626,621,611,605,599,627,610,611,617,623,616,570,606,613,611,611,587,616,620,617,613,591,613,589,700,12000
13,608,629,595,610,617,604,616,630,597,610,623,622,623,609,612,602,614,612,594,623,619,624,629,610,595,620,588,625,617,610,605,599,597,608,604,585,607,607,598,614,586,602,606,599,623,598,611,621,602,609,602,611,618,607,605,618,616,610,600,603,611,614,615,605,615,622,603,619,609,596,608,600,620,601,617,589,604,611,599,614,596,620,609,604,616,615,601,591,598,608,609,607,602,616,605,605,602,620,602,604,700,13000
14,600,599,617,610,602,601,610,607,600,592,611,604,604,624,606,602,596,621,615,604,603,610,616,602,605,615,616,599,613,604,608,626,600,606,613,613,613,602,595,590,599,600,604,592,603,615,607,606,610,604,632,612,607,592,600,609,610,613,611,619,600,616,611,601,625,615,619,617,604,597,596,620,602,612,586,597,627,613,616,620,615,612,619,604,613,602,603,624,617,587,614,615,596,605,611,608,604,607,625,600,700,14000
15,596,616,594,629,607,608,596,626,613,618,604,604,582,607,617,606,591,595,614,604,622,598,605,602,617,605,615,611,606,609,612,614,607,602,593,604,591,598,613,611,613,618,613,618,608,608,600,610,606,596,597,598,605,606,595,604,603,625,606,609,616,620,611,604,584,600,614,610,601,616,599,607,609,599,603,607,603,607,613,601,605,610,608,598,609,623,583,612,597,604,598,611,607,600,604,611,594,613,599,609,700,15000
16,602,607,623,626,628,624,610,612,603,616,606,598,612,601,625,608,603,590,605,593,589,606,611,609,609,599,615,627,602,596,607,612,615,601,599,619,605,613,617,604,584,600,605,608,612,602,611,612,604,576,602,609,613,610,622,602,603,619,593,598,592,600,602,595,617,603,618,600,603,612,619,597,603,595,592,604,599,618,619,581,613,592,618,612,587,600,615,606,600,605,602,613,610,594,621,590,605,592,620,626,700,16000
17,586,588,594,606,609,616,606,604,621,615,591,606,589,605,600,588,603,606,615,607,605,598,590,600,606,616,611,602,604,619,610,613,604,608,618,626,613,591,599,600,614,620,617,608,610,595,604,596,598,613,613,600,592,618,608,593,620,616,607,604,603,609,603,616,594,599,607,619,599,604,603,601,624,608,595,609,609,600,605,611,603,614,611,598,610,606,607,612,601,592,615,596,604,589,605,586,604,602,599,612,700,17000
18,606,601,594,607,608,611,604,590,594,586,609,593,593,600,591,621,617,609,605,614,598,596,607,602,617,614,605,612,605,590,625,576,589,617,623,605,602,598,598,589,590,608,592,612,620,624,602,618,613,596,594,610,617,590,592,599,612,611,602,601,608,603,612,610,605,604,594,602,594,600,602,601,606,604,614,613,623,596,589,600,588,616,617,589,615,614,605,607,603,596,615,602,593,593,601,615,610,613,605,594,700,18000
19,604,610,600,584,588,616,608,607,590,609,611,619,591,601,620,590,595,620,602,583,599,603,604,600,592,613,588,606,607,609,609,587,596,603,591,606,606,601,608,607,586,590,590,602,600,600,592,601,588,613,589,607,608,606,619,614,580,598,601,601,580,610,605,617,594,596,622,618,604,595,605,615,589,591,607,594,607,578,608,592,585,598,600,621,618,607,595,593,618,602,607,599,588,589,591,614,602,616,609,606,700,19000
20,600,619,613,595,596,611,610,605,580,600,607,615,600,613,609,591,614,589,586,609,585,596,599,608,607,612,592,605,598,614,624,612,602,589,592,598,605,592,593,600,596,595,596,606,603,605,602,589,586,602,593,582,589,591,622,608,599,617,596,599,593,600,598,598,584,604,604,593,609,610,597,601,609,596,590,606,604,592,609,613,596,587,592,582,602,600,618,605,606,599,609,594,630,607,590,593,594,614,600,595,700,20000
21,590,594,592,608,614,609,609,618,605,600,612,599,608,598,598,598,592,614,608,594,609,585,588,592,589,589,598,593,592,590,590,597,583,598,576,597,588,601,592,603,604,597,583,589,609,575,613,608,585,595,593,591,604,591,596,592,600,609,601,594,614,597,604,595,575,607,614,603,611,607,610,597,594,600,588,602,598,601,594,598,595,614,606,595,628,608,599,604,609,595,592,588,605,588,598,606,585,599,605,597,700,21000
22,590,598,601,593,595,594,595,600,602,591,622,583,601,577,591,605,599,616,588,595,591,589,584,599,584,581,595,584,590,608,603,609,594,581,612,611,592,604,601,604,597,593,576,600,610,577,615,594,601,581,605,598,614,605,589,609,597,603,602,597,614,583,597,587,598,596,596,585,598,593,598,601,585,606,597,579,607,578,614,594,592,610,599,590,601,602,613,587,605,608,598,615,609,608,590,568,595,604,602,594,700,22000
23,589,600,583,605,603,584,616,602,586,589,596,597,610,588,580,581,599,607,577,620,581,619,598,600,591,599,595,582,596,600,613,598,609,580,582,609,602,590,590,577,601,587,607,600,586,589,587,594,591,599,590,593,599,591,605,603,574,592,603,586,587,606,605,594,625,608,582,597,602,598,602,600,595,581,598,579,586,589,617,598,611,606,612,604,596,615,599,598,591,582,604,571,601,602,602,605,584,597,596,590,700,23000
24,602,601,594,594,599,585,599,590,583,592,614,594,597,606,591,592,583,600,613,611,593,563,587,611,594,603,600,592,609,579,606,584,604,588,606,601,603,599,606,594,601,611,601,584,610,586,594,606,599,585,596,598,601,606,577,592,599,603,573,602,610,593,590,597,594,600,596,593,593,616,608,599,596,599,612,588,592,587,594,586,600,585,604,580,595,606,595,606,582,581,590,603,604,596,589,617,600,613,592,586,700,24000
25,590,594,600,597,587,593,619,594,583,602,596,588,594,599,595,591,609,595,596,598,595,594,595,586,591,591,604,607,588,618,599,580,583,616,598,601,606,609,601,601,585,602,584,596,579,594,617,583,590,599,600,576,577,589,608,592,596,595,623,596,584,589,569,594,592,597,587,621,600,604,609,579,605,600,600,598,600,604,583,577,602,598,587,582,594,598,573,603,608,602,614,599,612,591,592,601,606,599,597,584,700,25000
26,603,590,602,598,590,606,595,606,597,594,591,602,594,620,580,598,587,590,593,612,599,568,601,621,609,600,599,596,594,603,609,605,593,614,605,596,600,607,591,601,587,584,595,576,593,600,627,617,601,596,595,592,603,594,608,601,602,594,604,573,592,576,583,601,601,579,588,575,600,588,600,589,605,601,592,601,582,588,599,578,594,591,600,585,586,607,596,595,619,610,617,588,611,602,594,594,601,583,584,631,700,26000
27,585,587,589,606,583,604,602,587,603,590,603,595,589,602,583,589,596,584,597,599,594,596,596,588,582,605,584,573,596,595,592,594,589,609,574,595,604,593,596,584,607,598,595,597,600,608,596,620,602,621,586,594,600,600,583,594,567,588,590,618,599,610,604,583,606,581,591,571,596,602,607,607,575,598,612,620,586,606,603,603,611,598,603,607,593,602,582,600,601,592,592,598,589,608,607,590,593,585,595,600,700,27000
28,588,596,623,589,576,569,582,586,617,577,604,602,603,600,585,598,592,603,607,610,594,606,595,595,609,600,588,589,600,587,596,584,609,591,600,602,586,606,601,600,589,575,611,597,586,604,589,590,588,610,594,594,613,606,613,615,591,607,572,591,582,594,572,612,589,579,600,597,589,605,604,595,596,603,585,595,597,609,592,604,574,590,596,595,596,574,573,594,601,609,588,599,605,608,580,583,591,598,587,588,700,28000
29,604,585,619,607,593,599,596,588,612,583,605,593,597,592,608,596,598,594,587,596,595,594,602,617,607,604,613,591,601,599,612,608,588,598,594,593,606,611,599,579,595,603,615,613,591,604,613,605,599,587,606,584,586,597,587,601,588,594,591,594,587,605,591,599,590,589,590,598,601,600,590,589,587,587,598,618,605,590,616,602,589,598,612,595,610,589,595,595,609,583,604,585,611,603,598,608,602,606,597,581,700,29000
30,583,593,595,590,595,579,584,612,613,592,591,606,608,595,591,580,598,587,595,611,613,599,597,578,598,602,595,614,597,586,601,582,587,612,598,594,590,606,597,596,596,592,584,578,594,594,603,575,601,610,605,601,594,593,606,585,605,603,596,587,588,588,619,591,594,603,582,589,593,604,601,602,617,597,591,602,579,600,603,596,602,596,609,604,602,616,618,600,587,593,598,630,598,612,609,603,600,577,600,597,700,30000
31,618,593,589,574,613,619,590,604,582,596,604,591,603,604,598,602,612,593,592,592,603,623,612,599,607,590,588,603,581,566,614,587,591,604,615,597,586,594,582,592,604,596,599,611,577,600,594,612,604,592,614,607,593,586,598,575,605,602,596,599,606,594,603,601,584,594,586,577,594,607,606,610,606,594,608,601,591,591,586,595,592,595,603,589,584,606,604,587,588,597,603,614,600,578,588,598,598,590,583,599,700,31000
32,597,599,611,602,605,602,601,600,615,581,606,600,585,597,589,590,597,589,584,596,585,603,590,608,598,604,603,584,584,609,602,609,611,593,602,608,596,604,599,595,586,607,586,587,592,601,587,581,607,583,601,586,591,596,597,583,593,596,599,607,607,590,609,602,609,598,616,607,593,586,579,590,592,587,594,612,606,599,583,615,594,583,597,593,592,577,594,597,581,594,585,610,594,584,570,580,582,606,597,594,700,32000
33,604,584,581,586,572,609,602,599,592,585,590,594,592,602,600,598,594,618,580,591,590,603,583,606,598,594,615,585,613,583,605,601,588,602,605,592,592,589,588,572,610,588,590,594,582,582,584,602,604,578,594,615,600,605,609,619,582,592,593,599,594,587,585,595,600,602,611,581,582,603,601,586,601,597,614,610,608,597,592,597,586,587,611,611,597,586,586,595,600,599,592,591,595,592,606,601,594,628,611,591,700,33000
34,598,593,606,591,574,613,590,611,592,598,585,591,597,594,595,589,587,604,588,587,591,605,611,576,598,600,601,607,594,614,604,586,584,605,592,596,606,589,599,592,598,580,591,598,577,608,601,585,597,592,603,608,583,579,582,587,601,594,585,585,583,584,602,587,612,593,593,588,600,620,605,606,604,591,595,608,594,585,609,590,594,588,598,588,595,601,604,595,586,594,595,600,591,594,602,593,593,590,603,612,700,34000
35,586,598,576,596,592,595,586,590,591,591,622,606,596,600,596,573,606,587,601,589,597,588,604,608,603,610,602,567,607,600,586,597,589,595,590,603,585,596,599,594,591,581,602,578,599,599,597,587,595,595,607,597,585,587,600,588,605,578,608,615,589,599,585,598,596,590,590,590,596,609,583,592,603,615,602,577,596,605,584,595,602,610,598,593,586,605,599,603,590,591,593,594,614,590,603,586,599,603,596,604,700,35000
36,594,606,601,590,575,602,579,592,599,608,595,589,609,603,598,606,607,611,597,588,597,584,608,596,594,591,603,595,606,608,602,592,590,592,606,593,595,586,600,585,610,598,607,613,619,598,600,600,608,596,612,600,592,580,602,606,602,592,609,604,589,598,602,590,615,596,600,594,596,603,584,596,594,602,604,606,576,592,589,602,609,594,604,597,599,611,601,581,610,596,620,608,610,595,577,595,610,595,582,593,700,36000
37,584,597,585,596,604,609,593,597,589,593,588,591,590,595,587,599,601,589,601,589,614,589,609,603,592,599,598,575,587,618,583,588,587,595,598,598,586,579,581,590,600,588,607,592,601,617,590,593,605,606,591,576,574,596,593,589,593,576,601,596,603,585,606,585,594,592,612,590,607,599,608,594,606,593,609,576,599,603,595,593,596,602,596,602,606,603,582,599,594,607,591,591,586,590,595,594,584,599,600,573,700,37000
38,573,593,604,597,600,564,585,592,595,581,608,608,616,605,600,606,592,585,615,597,598,603,592,595,600,591,599,596,603,599,601,598,617,571,596,588,605,585,583,573,610,605,601,585,586,597,597,593,606,604,593,583,578,606,587,580,598,606,614,610,619,587,596,601,598,596,593,597,604,590,597,596,603,594,599,601,607,594,596,601,583,602,595,600,613,596,582,616,582,599,587,599,613,598,606,603,603,597,601,590,700,38000
39,593,591,608,609,588,601,606,612,593,606,592,605,596,609,576,586,604,591,589,594,599,598,602,592,613,614,594,599,587,623,600,584,602,597,586,603,588,593,593,597,600,605,593,594,613,608,598,576,587,582,596,575,612,603,600,603,589,609,605,589,598,589,577,619,582,571,602,601,592,601,589,578,596,600,591,593,591,602,569,597,601,578,595,588,601,603,596,589,585,589,601,610,579,597,575,600,584,575,594,593,700,39000
40,598,593,578,614,596,607,620,581,584,602,591,588,591,582,592,622,588,595,582,597,609,585,596,611,599,587,602,597,587,602,603,590,571,598,596,610,580,585,600,596,585,607,579,586,590,602,592,603,588,608,613,599,586,594,621,607,594,599,594,597,592,598,604,602,590,587,593,598,595,580,605,612,572,587,609,606,587,599,593,578,585,604,585,603,595,599,601,597,604,589,603,593,587,599,589,591,600,605,609,595,700,40000
41,600,598,616,594,609,608,598,571,597,593,618,596,586,597,588,594,573,614,580,593,598,580,582,602,601,588,599,592,601,601,589,596,590,581,579,604,596,594,608,595,586,597,590,590,603,598,599,605,607,588,591,592,572,609,590,613,587,605,608,585,605,590,591,570,590,589,606,586,608,606,606,616,585,620,594,596,598,594,598,595,588,582,611,596,613,616,601,612,586,600,609,588,581,593,599,595,596,595,596,589,700,41000
42,587,608,593,590,605,592,593,600,613,605,587,606,597,593,591,580,584,584,599,580,595,627,598,588,615,583,580,602,618,610,610,584,593,587,598,602,612,598,598,587,596,583,596,602,595,617,589,580,598,595,595,610,586,578,598,598,602,592,588,591,581,589,598,602,579,580,606,599,570,599,600,601,598,571,606,592,589,600,591,600,597,611,605,616,607,578,591,581,602,598,601,601,583,583,600,598,592,589,595,595,700,42000
43,579,614,606,590,620,605,594,591,607,591,594,591,601,597,594,609,572,596,613,597,617,600,587,606,609,574,607,596,607,591,605,605,595,608,609,610,596,597,615,596,588,602,577,603,592,621,589,587,586,610,574,610,596,600,578,598,595,590,590,594,606,605,579,587,594,600,611,590,606,595,603,613,609,585,592,591,580,584,599,597,595,603,592,578,599,608,615,593,576,607,598,601,586,600,584,592,594,586,585,592,700,43000
44,578,599,598,598,593,569,575,599,596,593,595,604,593,578,602,601,600,599,605,592,593,603,591,603,609,602,590,588,615,581,609,598,609,609,600,596,600,593,580,612,605,599,590,590,614,591,581,600,585,597,611,594,582,578,584,597,589,598,594,584,599,596,593,614,617,602,602,601,599,590,606,582,589,615,571,605,605,586,604,600,607,595,607,585,587,596,609,607,584,598,588,598,598,602,626,609,586,596,603,606,700,44000
45,585,604,604,583,575,600,602,588,583,608,605,598,584,583,592,593,606,609,588,596,604,587,607,601,596,600,611,593,605,585,599,596,601,608,602,596,587,598,583,586,603,590,586,586,606,595,589,587,591,589,600,600,602,593,608,604,578,604,586,579,599,602,612,596,587,608,599,584,601,611,575,602,600,608,595,588,604,596,604,606,588,578,598,609,602,579,586,582,596,581,597,604,581,594,583,593,583,604,587,597,700,45000
46,604,598,603,603,579,600,610,609,586,601,594,590,609,584,590,600,606,605,595,609,597,591,592,597,613,592,593,590,601,600,597,591,606,596,581,613,589,603,583,601,609,608,624,588,598,606,610,593,589,596,583,593,598,603,586,594,586,579,613,603,598,598,598,601,603,605,593,608,622,599,596,570,583,594,609,584,571,598,612,598,599,591,600,581,596,595,608,593,603,594,614,591,584,602,606,602,605,592,592,600,700,46000
47,587,602,576,590,604,598,587,595,595,603,598,572,590,590,603,612,598,592,575,592,605,596,581,595,595,595,595,594,591,586,587,593,600,605,607,606,592,602,601,592,581,589,592,590,587,589,596,586,585,616,585,594,592,591,606,583,580,585,589,603,564,601,592,593,597,596,586,586,594,606,582,574,595,591,598,602,591,592,588,594,584,597,618,590,592,604,583,582,595,586,600,607,597,598,597,615,607,577,603,596,700,47000
48,602,590,609,585,597,592,591,606,590,596,590,602,581,593,606,594,588,574,602,585,615,596,605,584,612,598,589,599,584,608,593,595,593,598,606,592,598,604,601,589,599,597,603,584,603,593,596,588,596,600,593,589,604,586,593,584,598,609,597,591,578,585,593,592,595,602,602,585,587,596,610,600,612,600,592,615,605,609,590,612,589,609,606,608,583,599,589,589,592,589,580,614,589,584,599,606,586,593,601,599,700,48000
