Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop,gen
10,85,88,88,82,86,81,88,86,79,84,90,87,92,84,82,90,89,81,92,92,84,92,87,87,76,86,91,85,86,87,90,83,87,90,91,91,83,88,88,83,87,89,85,88,91,84,81,84,83,83,82,91,87,95,81,85,89,81,93,89,80,88,81,85,89,83,88,87,90,83,81,85,89,86,86,87,95,90,90,87,87,84,89,89,89,95,82,88,90,88,92,89,92,89,94,90,91,81,84,86,100,10000
11,86,85,85,90,87,88,80,85,86,91,88,85,87,92,84,90,85,93,92,87,89,88,84,84,84,90,91,77,80,89,89,91,90,81,88,93,89,87,87,85,86,87,89,83,92,87,90,87,86,88,90,90,92,84,85,87,86,80,84,91,90,91,89,82,92,90,81,84,84,87,89,86,90,86,84,90,90,91,88,90,91,87,85,87,84,79,88,92,88,87,92,86,86,82,91,86,87,87,92,80,100,11000
12,92,93,87,88,88,89,86,81,84,78,92,90,82,89,87,86,87,89,84,87,83,81,85,85,88,86,83,85,93,87,89,85,80,87,92,89,93,88,87,92,94,82,80,87,87,89,82,84,88,84,87,90,90,89,88,94,83,85,94,94,91,83,81,89,84,89,87,87,88,85,89,86,92,89,91,90,86,87,84,84,96,83,87,91,92,85,85,86,85,88,84,86,91,90,86,88,88,86,88,82,100,12000
13,89,80,92,87,91,86,86,95,87,83,89,85,84,88,83,79,86,91,85,89,89,91,89,84,79,86,87,90,82,84,89,85,89,89,93,87,84,87,87,89,82,85,84,85,86,86,86,86,90,87,84,92,87,89,89,87,86,90,89,88,88,86,87,89,86,87,88,89,81,87,89,82,85,82,94,87,86,89,85,93,81,85,85,87,93,87,89,90,83,92,84,87,85,86,87,87,85,84,91,94,100,13000
14,77,90,88,89,89,91,89,85,91,86,86,82,82,88,87,85,88,91,86,85,87,84,81,87,86,92,94,89,84,90,88,90,84,90,88,79,88,86,84,89,87,83,85,87,91,84,85,88,87,89,91,85,90,83,93,90,84,88,80,86,85,86,81,91,87,87,88,80,84,88,83,83,84,83,90,84,84,85,82,87,89,85,86,87,85,87,83,86,90,95,85,86,87,89,88,88,90,86,83,93,100,14000
15,85,87,85,83,89,87,87,90,87,87,84,90,89,86,90,83,82,79,95,85,89,94,84,85,88,86,86,87,84,83,90,82,89,87,89,83,88,85,85,91,91,81,78,86,88,86,91,83,86,90,84,93,86,89,86,85,88,81,86,85,93,85,86,90,87,89,90,85,91,83,86,89,86,88,78,86,87,87,85,85,87,89,94,86,92,84,85,84,87,85,86,92,89,86,81,85,82,89,83,85,100,15000
16,95,86,91,86,86,84,89,89,86,85,86,79,91,84,89,85,87,87,83,85,82,84,87,91,86,88,86,91,91,94,85,84,86,81,85,92,89,84,85,92,85,86,86,88,83,89,89,87,85,83,91,83,88,77,89,86,88,80,90,90,88,84,88,80,95,89,81,86,85,90,87,86,88,82,89,82,83,84,86,88,87,86,91,86,80,92,88,76,85,87,79,83,87,93,84,91,77,84,90,89,100,16000
17,84,94,89,86,86,90,87,81,89,89,83,82,88,86,84,93,83,83,86,92,87,84,89,92,88,84,87,93,92,86,89,86,90,89,92,88,88,92,87,86,84,93,85,88,89,83,89,94,92,89,92,87,79,85,87,90,88,88,88,86,83,88,83,88,89,83,90,87,89,88,85,86,89,89,83,85,84,85,91,86,91,83,89,86,91,83,86,88,93,90,84,87,84,87,84,86,85,89,80,83,100,17000
18,87,84,90,89,86,80,89,83,86,92,90,91,88,80,87,82,84,95,91,91,85,97,94,86,95,89,82,87,82,85,88,88,87,89,83,83,89,89,85,86,89,93,90,91,90,84,85,87,86,86,89,88,84,91,85,88,82,86,90,89,85,91,89,91,92,85,90,87,86,84,83,83,88,89,88,93,88,90,91,87,78,95,84,89,84,85,89,90,85,91,91,83,89,88,88,88,86,88,92,88,100,18000
19,89,82,87,82,91,88,92,89,90,94,84,89,74,86,86,86,86,85,85,87,86,81,89,91,92,81,91,91,89,89,85,84,89,89,87,84,88,85,91,87,82,93,87,81,84,92,91,87,88,80,82,83,84,85,88,88,83,89,87,87,85,81,87,89,88,91,85,87,83,94,90,89,83,89,86,82,89,83,84,85,92,88,88,94,92,79,88,84,84,91,86,90,82,86,88,83,85,88,91,90,100,19000
20,86,87,92,88,91,93,93,83,90,88,91,83,86,91,87,85,88,85,83,90,88,83,87,84,83,94,89,85,82,85,89,88,89,88,88,91,84,92,85,84,87,84,87,91,81,82,87,91,90,90,84,89,86,85,87,90,84,91,85,85,85,82,92,86,88,87,86,79,84,90,90,86,88,83,79,80,83,83,81,85,88,84,85,87,82,88,88,83,83,90,83,84,90,88,90,87,86,84,84,84,100,20000
21,91,84,94,85,85,82,93,83,95,83,84,80,92,86,91,88,87,85,82,87,89,79,86,90,84,84,88,83,84,80,90,84,89,85,86,85,88,84,90,89,87,85,82,89,83,81,89,87,86,91,86,85,84,80,88,83,86,89,87,90,92,86,78,89,87,85,87,90,86,85,76,85,85,89,91,89,83,94,88,93,90,87,88,78,87,80,89,82,85,83,86,89,85,84,90,92,85,83,81,82,100,21000
22,89,79,86,86,85,83,79,83,83,92,85,89,82,82,89,90,83,88,93,89,84,92,81,93,83,97,87,78,81,88,89,92,83,83,88,87,91,83,93,84,87,87,83,83,88,86,90,87,94,90,86,89,87,76,83,84,73,89,87,88,83,81,92,89,89,92,85,88,86,88,88,84,84,81,84,82,93,81,84,85,88,84,97,90,82,92,80,84,89,87,87,85,81,89,88,87,89,82,83,82,100,22000
23,80,91,86,86,88,86,84,85,81,89,81,90,91,84,87,89,81,85,85,86,87,85,79,83,89,86,83,89,76,87,82,89,90,94,84,89,86,82,86,85,88,86,90,91,91,87,83,87,92,86,91,84,88,92,79,93,86,89,87,88,92,91,91,89,87,85,85,92,87,90,80,81,87,83,86,82,88,88,86,84,92,87,88,92,79,81,83,85,85,79,87,85,84,82,88,86,87,83,85,91,100,23000
24,85,84,80,79,88,81,88,80,89,87,81,87,78,82,89,88,84,81,83,82,84,77,79,80,85,86,86,87,86,88,87,91,83,92,89,81,88,88,87,88,90,87,80,87,91,82,86,93,83,87,87,79,86,91,83,81,82,89,89,91,82,84,88,83,79,88,90,83,83,82,86,95,85,90,87,92,89,96,89,91,81,85,85,82,84,85,81,86,90,80,89,93,87,88,86,88,81,83,90,84,100,24000
25,76,86,85,87,86,84,83,82,88,86,86,83,81,93,86,86,87,86,87,88,87,85,92,86,87,83,80,93,83,88,86,84,87,85,86,86,89,90,86,88,89,82,85,84,90,88,84,86,82,86,83,86,88,80,84,86,81,87,88,83,83,86,87,90,86,85,85,86,84,89,88,81,86,87,85,84,81,90,84,87,85,87,88,81,81,89,89,87,85,88,86,85,86,88,86,87,86,82,84,88,100,25000
26,90,84,85,81,85,86,89,86,92,84,88,87,90,86,91,85,87,78,81,83,81,93,80,81,92,83,86,85,89,84,83,86,80,79,80,88,89,83,84,85,86,82,77,83,85,83,87,89,84,84,84,85,89,83,89,82,89,87,82,89,87,89,87,90,84,92,84,84,90,84,89,87,84,84,84,89,91,83,84,85,87,88,78,80,85,78,85,91,84,86,82,82,88,88,89,89,92,88,85,91,100,26000
27,91,94,84,85,83,86,91,81,85,85,81,83,86,86,84,85,91,85,83,81,87,89,88,84,82,81,85,89,78,90,89,86,84,85,88,87,86,85,90,86,85,85,84,90,87,84,84,82,86,86,83,87,86,88,80,86,83,88,91,84,80,88,81,89,91,95,78,87,81,82,89,87,82,92,82,89,92,84,89,83,85,85,77,83,82,89,89,87,90,83,84,89,82,86,76,86,80,83,87,83,100,27000
28,87,82,85,92,81,87,88,85,84,86,90,94,85,84,85,78,87,88,90,80,82,85,82,86,89,83,85,80,82,81,81,88,85,90,88,90,89,85,88,87,86,85,90,87,86,90,83,87,84,86,89,88,93,86,87,84,86,86,91,90,88,83,83,82,84,86,85,85,83,89,83,87,77,88,77,84,87,81,79,80,87,85,89,83,88,90,84,93,82,86,82,81,92,84,83,84,81,85,88,82,100,28000
29,86,82,86,80,79,91,88,81,82,88,76,86,83,92,78,90,74,76,82,87,90,84,88,89,91,82,84,91,79,85,90,84,88,82,87,86,86,86,83,84,86,79,86,84,85,80,84,83,88,86,82,90,79,90,85,90,86,90,84,88,90,85,81,86,85,85,81,91,89,87,84,84,82,85,85,89,86,82,85,89,80,87,81,79,90,87,77,83,89,89,83,85,81,88,81,89,81,91,89,85,100,29000
